City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Jiangkou,CN,80.49,few clouds,25.4872,119.1986,DFM Hotel
319,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
321,Merritt,CA,76.03,clear sky,50.1123,-120.7942,Ramada Limited Merritt
326,Luanda,AO,73.4,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
327,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
330,Ca Mau,VN,80.38,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
331,Dashitou,CN,78.75,overcast clouds,43.3067,128.5114,大林宾馆
333,Arona,ES,73.71,clear sky,28.0996,-16.681,Paradise Court
335,Lethem,GY,77.41,broken clouds,3.3803,-59.7968,Savannah Inn
336,Mayumba,GA,71.6,broken clouds,-3.432,10.6554,LIKWALE LODGE
337,Meulaboh,ID,76.32,overcast clouds,4.1363,96.1285,Kost Pria
338,Ennis,IE,71.53,clear sky,52.8436,-8.9864,Auburn Lodge Hotel
339,Mareeba,AU,74.32,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
340,Kulhudhuffushi,MV,82.85,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
343,Mankachar,IN,79.81,overcast clouds,25.5333,89.8667,Aman mankachar
345,Cutro,IT,74.46,clear sky,39.0353,16.9819,Gallella Viaggi - Agenzia Viaggi e Turismo
349,Tomatlan,MX,86.34,overcast clouds,19.9333,-105.25,El Salvial
351,Quelimane,MZ,71.55,scattered clouds,-17.8786,36.8883,Hotel Flamingo
352,Belmonte,BR,73.9,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
353,Ardakan,IR,88.18,few clouds,32.31,54.0175,Ardakan Hotel
354,Monrovia,LR,76.91,broken clouds,6.3005,-10.7969,Sunset Inn
355,Vanimo,PG,81.32,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
362,Sanming,CN,83.01,clear sky,26.2486,117.6186,Sanming Huangting Lijing Hotel
365,Diamantino,BR,75.15,clear sky,-14.4086,-56.4461,Hotel Delta
366,Sabha,LY,82.47,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
367,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
368,Plouzane,FR,73.49,overcast clouds,48.3833,-4.6167,Carrefour Voyages Plouzané
370,Nantucket,US,71.94,clear sky,41.2835,-70.0995,Jared Coffin House
371,Axim,GH,75.52,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
374,Fort-Shevchenko,KZ,82.29,overcast clouds,44.5086,50.263,Oasis hotel Bautino
376,Gat,IL,76.91,clear sky,31.61,34.7642,OlusHome
378,Kati,ML,74.3,moderate rain,12.7441,-8.0726,samassa la
384,Oriximina,BR,82.35,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
385,Atar,MR,86.16,clear sky,20.5169,-13.0499,Oumou Elghoura
386,Wanning,CN,79.88,overcast clouds,18.8003,110.3967,Paradise Hotel
392,Dum Duma,IN,77.9,clear sky,27.5667,95.5667,ROYAL HOME
393,Shingu,JP,83.39,overcast clouds,33.7333,135.9833,Shingu UI Hotel
396,Sibu,MY,77.31,few clouds,2.3,111.8167,RH HOTEL (4 Star)
397,Pouembout,NC,78.24,clear sky,-21.1333,164.9,Camping de Tipenga
399,Sao Raimundo Das Mangabeiras,BR,77.34,few clouds,-7.0219,-45.4811,Hotel Tropical
401,Tura,IN,74.89,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
404,Chatra,IN,78.78,few clouds,24.2167,84.8667,Shubhra Lodge
405,Piacabucu,BR,73.76,clear sky,-10.4056,-36.4344,Piaçabuçu News
406,Mattru,SL,73.76,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
407,Banda Aceh,ID,80.33,overcast clouds,5.5577,95.3222,Sulthan Hotel International
410,Mahibadhoo,MV,82.63,overcast clouds,3.7833,72.9667,Omadhoo Inn
411,Pacific Grove,US,86.81,scattered clouds,36.6177,-121.9166,Lovers Point Inn
413,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
415,Mitsamiouli,KM,76.86,few clouds,-11.3847,43.2844,Foyer ADM
416,Biak,ID,76.01,overcast clouds,-0.9131,122.8766,Penginapan Kim
419,Eyl,SO,79.14,scattered clouds,7.9803,49.8164,Amiin Hotel
420,Nabire,ID,75.61,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
421,Tucupita,VE,75.43,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
