City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Umm Lajj,SA,7/21/2021 18:07,25.0213,37.2685,87.57,65,36,4.47
182,Ilhabela,BR,7/21/2021 18:02,-23.7781,-45.3581,67.69,60,89,4.34
183,Tezu,IN,7/21/2021 18:07,27.9167,96.1667,77.97,94,97,4.34
184,Kristiinankaupunki,FI,7/21/2021 18:07,62.2743,21.376,62.24,65,15,14.14
185,Capitao Poco,BR,7/21/2021 18:02,-1.7464,-47.0594,80.73,87,15,5.75
186,Morogoro,TZ,7/21/2021 18:07,-6.8167,37.6667,72.39,66,85,3.2
187,Kavieng,PG,7/21/2021 18:07,-2.5744,150.7967,81.55,79,99,11.03
188,Nelson Bay,AU,7/21/2021 18:07,-32.7167,152.15,46.96,75,83,1.01
189,Jumla,NP,7/21/2021 18:03,29.2747,82.1838,64.24,96,100,2.37
190,Huanren,CN,7/21/2021 18:07,41.2647,125.3667,72.1,93,100,0.4
191,Cidreira,BR,7/21/2021 18:07,-30.1811,-50.2056,63.12,46,1,6.93
192,Seoul,KR,7/21/2021 18:07,37.5683,126.9778,80.04,64,91,2.01
193,Nipawin,CA,7/21/2021 18:07,53.3668,-104.0009,69.84,83,90,9.22
194,Bambanglipuro,ID,7/21/2021 18:07,-7.95,110.2833,74.86,89,19,4.65
195,Acarau,BR,7/21/2021 18:07,-2.8856,-40.12,87.15,51,4,19.13
196,Caravelas,BR,7/21/2021 18:07,-17.7125,-39.2481,75.88,54,52,7.43
197,Kurilsk,RU,7/21/2021 18:07,45.2333,147.8833,55,92,66,2.95
198,Chirongui,YT,7/21/2021 18:07,-12.9319,45.1483,75.13,64,5,3.83
199,San Quintin,MX,7/21/2021 18:07,30.4833,-115.95,75.87,69,64,12.71
200,Sao Borja,BR,7/21/2021 18:07,-28.6606,-56.0044,67.69,35,0,4.18
201,Redcar,GB,7/21/2021 18:07,54.6166,-1.06,77.25,62,65,9.13
202,Nakusp,CA,7/21/2021 18:07,50.2499,-117.8023,84.09,20,0,3.67
203,Yar-Sale,RU,7/21/2021 18:07,66.8333,70.8333,57.27,88,100,3.83
204,Thompson,CA,7/21/2021 18:04,55.7435,-97.8558,82.58,26,89,6.4
205,Tateyama,JP,7/21/2021 18:07,34.9833,139.8667,80.02,84,6,1.83
206,Santa Rosalia,MX,7/21/2021 18:07,27.3167,-112.2833,89.31,52,98,9.35
207,Abu Samrah,SY,7/21/2021 18:07,35.3029,37.1841,78.64,52,0,17.38
208,Bollnas,SE,7/21/2021 18:07,61.3482,16.3946,71.13,55,41,2.53
209,Chicama,PE,7/21/2021 18:07,-7.8447,-79.1469,64.94,60,4,10.07
210,Kutum,SD,7/21/2021 18:07,14.2,24.6667,84.94,32,100,5.79
211,Mogadishu,SO,7/21/2021 18:03,2.0371,45.3438,76.75,87,68,19.37
212,Fez,MA,7/21/2021 18:07,34.0372,-4.9998,98.85,20,0,9.22
213,Bathsheba,BB,7/21/2021 18:07,13.2167,-59.5167,84.81,79,75,20.71
214,Ambon,ID,7/21/2021 18:07,-3.6954,128.1814,78.91,83,95,8.95
215,Grand Gaube,MU,7/21/2021 18:07,-20.0064,57.6608,71.38,69,82,10
216,Vesyegonsk,RU,7/21/2021 18:07,58.664,37.2604,58.24,59,31,4.14
217,Gornozavodsk,RU,7/21/2021 18:07,58.3758,58.3211,58.03,73,30,2.17
218,Kidal,ML,7/21/2021 18:07,18.4411,1.4078,94.01,31,100,12.91
219,Filingue,NE,7/21/2021 18:07,14.3521,3.3168,92.07,36,100,9.4
220,Termoli,IT,7/21/2021 18:07,41.9888,14.9895,85.26,48,0,3.71
221,Gat,IL,7/21/2021 18:07,31.61,34.7642,82.81,13,0,8.28
222,Vanavara,RU,7/21/2021 18:07,60.34,102.2797,56.03,82,88,2.37
223,Taoudenni,ML,7/21/2021 18:07,22.6783,-3.9836,116.89,6,91,13.8
224,Saint-Leu,RE,7/21/2021 18:07,-21.15,55.2833,68.86,75,22,9.1
225,Brae,GB,7/21/2021 18:07,60.3964,-1.353,53.51,86,74,12.5
226,Labatlan,HU,7/21/2021 18:07,47.7473,18.4962,77.67,51,8,5.1
227,Hameln,DE,7/21/2021 18:07,52.104,9.3562,73.11,74,68,2.71
228,Peachland,CA,7/21/2021 18:07,49.7665,-119.7357,80.67,31,0,4
229,Labuhan,ID,7/21/2021 18:07,-6.8844,112.2051,77.41,81,53,5.7
230,Ponta Delgada,PT,7/21/2021 18:03,37.7333,-25.6667,72.32,73,20,14.97
231,Pevek,RU,7/21/2021 18:07,69.7008,170.3133,39.67,67,9,0.69
