City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Mahanje,TZ,2021-07-22 23:35:33,-9.9333,35.3333,63.32,65,96,1.57,overcast clouds
230,Naze,JP,2021-07-22 23:35:33,28.3667,129.4833,77.92,90,100,25.9,light rain
231,Cherskiy,RU,2021-07-22 23:35:33,68.75,161.3,57.72,77,99,3.47,overcast clouds
232,Normandin,CA,2021-07-22 23:35:34,48.8333,-72.5321,68.31,68,84,2.3,broken clouds
233,Chapais,CA,2021-07-22 23:35:34,49.7834,-74.8492,69.58,56,86,7.0,overcast clouds
234,Namatanai,PG,2021-07-22 23:32:59,-3.6667,152.4333,83.64,70,10,8.1,clear sky
235,New Norfolk,AU,2021-07-22 23:31:30,-42.7826,147.0587,51.93,68,65,1.01,broken clouds
236,Bharuch,IN,2021-07-22 23:35:35,21.7,72.9667,81.37,86,89,11.32,overcast clouds
237,Mponela,MW,2021-07-22 23:35:35,-13.5319,33.7401,59.92,67,59,5.32,broken clouds
238,Klaksvik,FO,2021-07-22 23:35:35,62.2266,-6.589,49.12,91,81,9.93,broken clouds
239,College Station,US,2021-07-22 23:35:35,30.628,-96.3344,91.2,74,90,9.22,light rain
240,Esperance,AU,2021-07-22 23:35:36,-33.8667,121.9,51.64,65,37,21.39,scattered clouds
241,Saint-Francois,FR,2021-07-22 23:35:36,46.4154,3.9054,62.67,88,0,1.14,clear sky
242,Batagay-Alyta,RU,2021-07-22 23:35:36,67.8006,130.4114,66.06,41,31,5.35,scattered clouds
243,Pangnirtung,CA,2021-07-22 23:35:37,66.1451,-65.7125,45.75,75,98,5.79,overcast clouds
244,Mananjary,MG,2021-07-22 23:35:37,-21.2167,48.3333,64.11,92,10,3.71,clear sky
245,Haines Junction,CA,2021-07-22 23:35:37,60.7522,-137.5108,67.95,40,41,10.36,scattered clouds
246,Makaryev,RU,2021-07-22 23:35:38,57.8797,43.8069,50.34,72,89,4.65,overcast clouds
247,Porto Santo,PT,2021-07-22 23:35:38,33.072,-16.3415,73.31,88,40,20.71,scattered clouds
248,Chubbuck,US,2021-07-22 23:35:38,42.9208,-112.4661,87.69,36,75,1.01,broken clouds
249,Quzhou,CN,2021-07-22 23:35:39,28.9594,118.8686,79.86,84,34,7.56,scattered clouds
250,Laguna,US,2021-07-22 23:35:39,38.421,-121.4238,104.25,22,1,3.0,clear sky
251,San Patricio,US,2021-07-22 23:35:39,28.017,-97.5169,87.89,61,48,14.27,scattered clouds
252,Camana,PE,2021-07-22 23:35:39,-16.6228,-72.7111,61.25,84,70,5.59,broken clouds
253,Quatre Cocos,MU,2021-07-22 23:35:40,-20.2078,57.7625,69.91,69,45,17.09,light rain
254,Huarmey,PE,2021-07-22 23:35:40,-10.0681,-78.1522,64.89,82,10,9.71,clear sky
255,Takoradi,GH,2021-07-22 23:35:40,4.8845,-1.7554,74.93,86,38,8.63,scattered clouds
256,Altay,CN,2021-07-22 23:35:41,47.8667,88.1167,72.84,47,100,8.03,overcast clouds
257,Belyy Yar,RU,2021-07-22 23:35:41,53.6039,91.3903,62.49,88,0,6.71,clear sky
258,Ngunguru,NZ,2021-07-22 23:35:41,-35.6167,174.5,58.15,81,47,4.85,scattered clouds
259,Miraflores,MX,2021-07-22 23:35:42,19.2167,-98.8083,72.01,79,88,2.24,overcast clouds
260,San Juan,AR,2021-07-22 23:35:42,-31.5375,-68.5364,60.13,22,63,4.14,broken clouds
